#ClinGen Gene Curation Results
#31 May,2020
#Genomic Locations are reported on GRCh38 (hg38): GCF_000001405.36
#https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen
#to create link: https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=Gene Symbol
#Gene Symbol	Gene ID	cytoBand	Genomic Location	Haploinsufficiency Score	Haploinsufficiency Description	Haploinsufficiency PMID1	Haploinsufficiency PMID2	Haploinsufficiency PMID3	Triplosensitivity Score	Triplosensitivity Description	Triplosensitivity PMID1	Triplosensitivity PMID2	Triplosensitivity PMID3	Date Last Evaluated	Loss phenotype OMIM ID	Triplosensitive phenotype OMIM ID
A4GALT	53947	22q13.2	chr22:42692115-42721301	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2014-12-11	111400	
AAGAB	79719	15q23	chr15:67200675-67255198	3	Sufficient evidence for dosage pathogenicity	23064416	23000146		0	No evidence available				2013-02-28	148600	
AARS	16	16q22.1	chr16:70252295-70289552	0	No evidence available				0	No evidence available				2018-01-11		
AARS2	57505	6p21.1	chr6:44297850-44313358	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
AASS	10157	7q31.32	chr7:122073544-122144290	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
ABAT	18	16p13.2	chr16:8674587-8784575	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	613163	
ABCC8	6833	11p15.1	chr11:17392885-17476870	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2012-02-24	256450	
ABCD1	215	Xq28	chrX:153724851-153744762	3	Sufficient evidence for dosage pathogenicity				0	No evidence available				2012-04-26	300100	
ABCG5	64240	2p21	chr2:43806154-43838840	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	210250	
ABCG8	64241	2p21	chr2:43831942-43880051	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
ABHD12	26090	20p11.21	chr20:25294743-25390982	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2014-12-11	612674	
ABR	29	17p13.3	chr17:1003518-1229713	0	No evidence available				0	No evidence available				2012-09-05		
ACAD8	27034	11q25	chr11:134253532-134265858	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2014-12-11	611283	
ACADM	34	1p31.1	chr1:75724347-75763679	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	201450	
ACADSB	36	10q26.13	chr10:123008913-123058290	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	610006	
ACADVL	37	17p13.1	chr17:7217125-7225267	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	201475	
ACD	65057	16q22.1	chr16:67657512-67660815	1	Little evidence for dosage pathogenicity	25505254			0	No evidence available				2019-10-09		
ACOX1	51	17q25.1	chr17:75941507-75979434	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2014-11-20	264470	
ACP5	54	19p13.2	chr19:11574660-11579008	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	607944	
ACSF3	197322	16q24.3	chr16:89093809-89160556	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	614265	
ACSL4	2182	Xq23	chrX:109641330-109733403	3	Sufficient evidence for dosage pathogenicity	11889465	12525535		0	No evidence available				2012-05-10	300387	
ACTA2	59	10q23.31	chr10:88935074-88991397	0	No evidence available				0	No evidence available				2015-10-15		
ACTB	60	7p22.1	chr7:5527148-5530601	0	No evidence available				0	No evidence available				2015-02-05		
ACTC1	70	15q14	chr15:34788096-34795726	1	Little evidence for dosage pathogenicity	17947298	24503780		0	No evidence available				2015-11-17		
ACVRL1	94	12q13.13	chr12:51906913-51923361	3	Sufficient evidence for dosage pathogenicity	18312453	20414677		0	No evidence available				2016-11-10	600376	
ADAM9	8754	8p11.22	chr8:38996771-39105261	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2014-12-11	612775	
ADAMTS13	11093	9q34.2	chr9:133414339-133459403	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	274150	
ADAMTS17	170691	15q26.3	chr15:99971438-100342924	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	613195	
ADAMTS18	170692	16q23.1	chr16:77282128-77435114	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	615458	
ADAMTS2	9509	5q35.3	chr5:179110851-179345430	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	225410	
ADAMTSL2	9719	9q34.2	chr9:133532164-133575519	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
ADGRG1	9289	16q21	chr16:57619535-57665039	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2012-05-17		
ADNP	23394	20q13.13	chr20:50888918-50931213	3	Sufficient evidence for dosage pathogenicity	24531329	25533962		0	No evidence available				2017-11-22	615873	
